series,n_obs,pct_valid,data_start,issues,status
BCOM,9132,100.0,1990-01-02,None,OK
US_2Y_TREAS,9132,100.0,1990-01-02,None,OK
EM_AGG_USD,8353,91.46955759964959,1993-01-29,MISSING DATA: 8.5% missing,WARNING
US_BOND_TR,9132,100.0,1990-01-02,None,OK
HY_TR,9132,100.0,1990-01-02,None,OK
IG_CORP_TR,9132,100.0,1990-01-02,None,OK
SKEW,9132,100.0,1990-01-02,None,OK
VIX,8310,90.99868593955321,1993-04-01,MISSING DATA: 9.0% missing,WARNING
VVIX,5054,55.343845816907574,2006-03-06,MISSING DATA: 44.7% missing; LIMITED HISTORY: starts 2006-03-06,WARNING
MOVE,9132,100.0,1990-01-02,None,OK
PUT_CALL,7357,80.562855891371,1997-01-08,MISSING DATA: 19.4% missing,WARNING
CDX_HY_5Y,3664,40.12264564169952,2011-09-09,MISSING DATA: 59.9% missing; LIMITED HISTORY: starts 2011-09-09,WARNING
CDX_IG_5Y,3664,40.12264564169952,2011-09-09,MISSING DATA: 59.9% missing; LIMITED HISTORY: starts 2011-09-09,WARNING
HY_OAS,8099,88.68812965396408,1994-01-31,MISSING DATA: 11.3% missing,WARNING
MSCI_EAFE,9132,100.0,1990-01-02,None,OK
SPY_EPS,8818,96.56154183092423,1990-01-02,None,OK
SPY_PE,8837,96.76960140166447,1991-03-04,None,OK
IGOV,4323,47.339027595269386,2009-01-29,MISSING DATA: 52.7% missing; LIMITED HISTORY: starts 2009-01-29,WARNING
OIL,9112,99.78098992553657,1990-01-02,None,OK
UNEMP,4615,50.536574682435386,2007-11-30,MISSING DATA: 49.5% missing; LIMITED HISTORY: starts 2007-11-30; SUSPICIOUS: 31.2% of rolling windows have zero std,WARNING
ECO_SURPRISE,6602,72.2952255803767,2000-01-05,MISSING DATA: 27.7% missing,WARNING
FCI,9131,99.98904949627683,1990-01-03,None,OK
