,BCOM,US_2Y_TREAS,EM_AGG_USD,US_BOND_TR,HY_TR,IG_CORP_TR,SKEW,VIX,VVIX,MOVE,PUT_CALL,CDX_HY_5Y,CDX_IG_5Y,HY_OAS,MSCI_EAFE,SPY_EPS,SPY_PE,IGOV,OIL,UNEMP,ECO_SURPRISE,FCI
1990-01-02,94.2766,7.875,,397.08,453.66,453.66,126.09,,,91.73,,,,,1043.26,337.93,,,20.51,,,
1990-01-03,95.5969,7.927,,396.36,452.75,452.75,123.34,,,93.21,,,,,1044.8,335.06,,,21.69,,,-1.963
1990-01-04,94.8401,7.91,,396.88,452.98,452.98,122.62,,,95.09,,,,,1054.33,335.07,,,21.51,,,-0.145
1990-01-05,94.0473,7.885,,396.72,452.57,452.57,121.27,,,85.28,,,,,1046.18,340.36,,,22.0,,,-0.18
1990-01-08,92.5591,7.893,,396.72,452.61,452.61,124.12,,,86.91,,,,,1047.86,341.2,,,20.52,,,-0.438
1990-01-09,92.9046,7.893,,396.8,452.61,452.61,119.82,,,83.53,,,,,1040.82,338.48,,,20.14,,,-0.376
1990-01-10,94.1429,7.876,,396.92,452.52,452.52,120.82,,,84.53,,,,,1035.08,337.62,,,19.88,,,-0.466
1990-01-11,94.8228,7.92,,396.96,452.61,452.61,107.48,,,82.86,,,,,1037.13,332.61,,,20.27,,,-0.558
1990-01-12,94.2783,7.938,,396.32,451.39,451.39,116.78,,,87.31,,,,,1028.91,334.81,,,20.05,,,-0.134
1990-01-15,93.258,7.947,,396.6,451.8,451.8,116.16,,,87.31,,,,,1023.8,338.15,,,19.53,,,-0.615
1990-01-16,92.9647,8.098,,395.01,450.93,450.93,120.62,,,95.37,,,,,1001.73,336.57,,,19.58,,,-0.852
1990-01-17,92.4892,8.054,,395.13,451.11,451.11,123.03,,,93.84,,,,,1003.17,339.1,,,19.2,,,-0.565
1990-01-18,92.5756,8.232,,393.03,448.3,448.3,131.14,,,101.9,,,,,991.37,339.55,,,19.47,,,-0.437
1990-01-19,92.7901,8.162,,393.98,449.8,449.8,129.31,,,95.76,,,,,990.08,337.99,,,19.92,,,-0.063
1990-01-22,92.3236,8.136,,394.14,449.89,449.89,118.95,,,101.65,,,,,993.39,340.54,,,19.66,,,-0.073
1990-01-23,92.1362,8.235,,394.54,450.48,450.48,117.94,,,102.77,,,,,993.14,340.58,,,19.21,,,-0.411
1990-01-24,91.9569,8.235,,392.95,447.98,447.98,128.75,,,109.14,,,,,988.43,341.61,,,19.29,,,-0.219
1990-01-25,92.4413,8.246,,392.31,447.03,447.03,124.33,,,109.73,,,,,994.56,339.35,,,19.73,,,-0.321
1990-01-26,92.8145,8.263,,390.88,445.08,445.08,122.76,,,110.08,,,,,999.61,339.59,,,19.86,,,-0.266
1990-01-29,93.0373,8.324,,391.28,445.58,445.58,124.6,,,108.34,,,,,1014.05,341.91,,,20.05,,,-0.268
1990-01-30,92.3978,8.28,,390.76,444.9,444.9,120.91,,,112.71,,,,,1012.77,343.97,,,19.87,,,-0.131
1990-01-31,92.5128,8.254,,392.48,448.15,448.15,128.22,,,105.5,,,,,1007.8,345.61,,,20.06,,,-0.189
1990-02-01,92.5849,8.28,,393.02,448.88,448.88,129.53,,,105.39,,,,,1012.8,345.77,,,19.93,,,-0.396
1990-02-02,93.3383,8.341,,392.0,447.22,447.22,132.53,,,103.31,,,,,1015.48,343.6,,,20.19,,,-0.344
1990-02-05,92.6471,8.359,,391.84,446.91,446.91,121.22,,,98.51,,,,,1018.04,345.99,,,19.78,,,-0.165
1990-02-06,92.6793,8.402,,391.29,446.06,446.06,120.3,,,99.43,,,,,1022.39,350.63,,,19.88,,,-0.148
1990-02-07,92.7112,8.385,,391.49,446.19,446.19,123.35,,,107.67,,,,,1011.66,351.41,,,19.69,,,-0.108
1990-02-08,92.5121,8.315,,392.2,447.04,447.04,124.87,,,104.47,,,,,1011.7,349.58,,,19.48,,,-0.115
1990-02-09,92.4499,8.218,,394.24,451.08,451.08,126.06,,,105.65,,,,,1003.93,348.55,,,19.6,,,-0.145
1990-02-12,93.0139,8.28,,393.65,450.45,450.45,126.99,,,104.26,,,,,1003.14,347.59,,,19.33,,,-0.357
1990-02-13,93.2409,8.192,,395.22,451.62,451.62,133.06,,,106.11,,,,,997.51,348.69,,,19.4,,,-0.323
1990-02-14,93.5918,8.262,,395.26,451.62,451.62,131.55,,,102.26,,,,,1000.33,348.56,,,19.49,,,-0.738
1990-02-15,94.1112,8.324,,393.77,449.82,449.82,139.07,,,100.59,,,,,1005.41,351.73,,,19.84,,,-0.404
1990-02-16,94.0561,8.324,,394.16,450.09,450.09,136.61,,,94.63,,,,,1009.08,352.75,,,19.71,,,0.099
1990-02-20,94.0201,8.493,,391.14,446.24,446.24,126.47,,,109.0,,,,,988.83,350.93,,,19.59,,,-0.099
1990-02-21,94.0189,8.485,,391.29,446.28,446.28,129.17,,,110.89,,,,,967.91,350.06,,,19.39,,,0.05
1990-02-22,94.3058,8.431,,392.9,448.21,448.21,124.8,,,110.03,,,,,966.55,343.69,,,19.3,,,-0.231
1990-02-23,94.0957,8.413,,392.98,448.34,448.34,125.82,,,107.16,,,,,943.3,342.46,,,19.19,,,-0.141
1990-02-26,94.0966,8.362,,394.47,450.41,450.41,130.69,,,111.62,,,,,911.56,342.84,,,19.58,,,-0.322
1990-02-27,93.5731,8.336,,395.34,451.75,451.75,131.45,,,107.3,,,,,924.21,344.78,,,19.41,,,-0.304
1990-02-28,93.8641,8.422,,393.75,449.45,449.45,123.1,,,105.72,,,,,936.39,347.42,,,19.48,,,-0.213
1990-03-01,93.4207,8.517,,392.47,448.12,448.12,123.96,,,108.82,,,,,920.62,346.81,,,19.24,,,-0.074
1990-03-02,94.2312,8.481,,393.29,448.93,448.93,126.44,,,106.51,,,,,922.93,348.81,,,19.28,,,0.061
1990-03-05,95.2939,8.559,,391.64,446.72,446.72,124.24,,,106.45,,,,,922.81,350.67,,,19.43,,,-0.155
1990-03-06,94.8959,8.515,,392.74,448.16,448.16,124.86,,,106.34,,,,,919.02,353.4,,,19.33,,,-0.013
1990-03-07,94.4478,8.533,,393.06,448.75,448.75,121.08,,,106.23,,,,,912.96,359.69,,,19.13,,,0.093
1990-03-08,94.6423,8.585,,393.33,449.15,449.15,124.46,,,107.16,,,,,918.79,358.76,,,18.86,,,0.352
1990-03-09,93.9087,8.69,,392.03,447.04,447.04,125.6,,,106.44,,,,,915.47,355.67,,,18.88,,,0.313
1990-03-12,93.424,8.69,,392.43,447.8,447.8,129.69,,,105.3,,,,,902.24,352.2,,,18.62,,,0.305
1990-03-13,93.2581,8.744,,391.01,445.96,445.96,128.07,,,109.46,,,,,887.46,353.79,,,18.6,,,0.319
1990-03-14,93.2438,8.673,,392.66,448.03,448.03,131.82,,,107.1,,,,,882.0,349.62,,,18.52,,,0.323
1990-03-15,94.4687,8.708,,392.55,448.16,448.16,133.02,,,103.56,,,,,882.91,347.31,,,18.74,,,0.184
1990-03-16,93.9531,8.637,,394.0,449.82,449.82,136.73,,,101.57,,,,,888.22,348.53,,,18.56,,,0.269
1990-03-19,93.7245,8.673,,394.32,450.32,450.32,138.69,,,103.04,,,,,866.65,339.93,,,18.2,,,0.14
1990-03-20,93.3029,8.646,,395.38,451.94,451.94,134.2,,,103.03,,,,,854.71,337.0,,,18.05,,,0.259
1990-03-21,93.6667,8.699,,395.03,451.53,451.53,132.58,,,101.37,,,,,849.73,340.75,,,18.17,,,0.342
1990-03-22,93.7311,8.61,,395.34,451.71,451.71,129.8,,,106.6,,,,,827.92,337.4,,,18.16,,,0.371
1990-03-23,93.9472,8.601,,395.74,452.21,452.21,130.76,,,105.88,,,,,843.57,338.19,,,18.4,,,0.007
1990-03-26,93.2761,8.601,,396.44,452.88,452.88,129.9,,,105.56,,,,,863.07,339.15,,,18.46,,,0.141
1990-03-27,93.1102,8.628,,396.13,452.57,452.57,135.33,,,103.5,,,,,861.5,330.38,,,18.46,,,0.151
1990-03-28,92.9986,8.561,,396.56,453.06,453.06,133.51,,,98.67,,,,,848.69,331.61,,,18.32,,,-0.3
1990-03-29,93.4348,8.631,,395.07,451.22,451.22,131.2,,,102.21,,,,,851.98,330.26,,,18.33,,,0.004
1990-03-30,94.153,8.622,,394.04,449.86,449.86,111.33,,,103.89,,,,,837.74,326.08,,,18.38,,,0.208
1990-04-02,94.255,8.604,,394.48,450.0,450.0,126.46,,,104.48,,,,,796.54,325.8,,,18.62,,,-0.139
1990-04-03,94.9318,8.596,,394.87,450.63,450.63,117.63,,,100.64,,,,,817.63,325.2,,,18.48,,,-0.538
1990-04-04,94.5142,8.517,,396.6,453.02,453.02,114.13,,,107.26,,,,,816.81,322.98,,,18.09,,,-0.126
1990-04-05,94.1931,8.543,,396.52,452.88,452.88,114.42,,,103.72,,,,,821.58,329.08,,,17.65,,,-0.587
1990-04-06,94.1479,8.507,,396.72,453.06,453.06,114.91,,,100.77,,,,,839.28,328.79,,,17.43,,,-0.365
1990-04-09,92.9817,8.533,,396.45,452.66,452.66,117.6,,,98.98,,,,,855.65,330.92,,,16.79,,,-0.425
1990-04-10,92.7915,8.551,,396.45,452.57,452.57,119.09,,,100.48,,,,,839.28,331.85,,,16.35,,,-0.332
1990-04-11,93.0505,8.533,,396.52,452.84,452.84,108.87,,,99.17,,,,,840.86,329.66,,,16.84,,,-0.327
1990-04-12,92.5898,8.567,,396.05,451.76,451.76,121.52,,,98.78,,,,,842.64,333.75,,,16.82,,,-0.05
1990-04-16,93.0628,8.576,,395.97,451.4,451.4,126.05,,,99.05,,,,,828.03,333.62,,,16.82,,,-0.253
1990-04-17,92.995,8.674,,394.32,449.37,449.37,131.24,,,99.94,,,,,827.76,330.08,,,16.7,,,-0.197
1990-04-18,92.4836,8.781,,391.99,446.94,446.94,122.74,,,101.29,,,,,838.43,331.02,,,16.4,,,-0.158
1990-04-19,93.7349,8.781,,391.91,446.9,446.9,120.77,,,101.37,,,,,851.81,332.01,,,17.01,,,-0.275
1990-04-20,93.5605,8.808,,391.52,445.37,445.37,120.88,,,102.13,,,,,850.85,334.89,,,17.21,,,-0.308
1990-04-23,93.9608,8.853,,391.09,445.1,445.1,120.03,,,106.32,,,,,841.18,332.72,,,17.55,,,-0.564
1990-04-24,93.5769,8.898,,390.69,444.56,444.56,124.56,,,105.36,,,,,833.27,327.99,,,17.48,,,-0.46
1990-04-25,93.41,8.953,,390.61,444.65,444.65,127.03,,,104.23,,,,,834.56,327.67,,,17.21,,,-0.386
1990-04-26,93.7875,9.032,,389.47,442.99,442.99,124.51,,,109.41,,,,,834.4,325.7,,,17.09,,,-0.266
1990-04-27,94.1229,8.944,,389.71,443.3,443.3,118.84,,,106.59,,,,,830.91,324.15,,,17.08,,,-0.067
