Run,Ann. Return,Ann. Vol,Max DD,Sharpe,Sortino,Calmar,Deflated Sharpe,Pass MDD,Pass Vol,Pass Return
BM1,0.053581413,0.09635072,-0.33914456,0.34853306,0.48934382,0.1579899,0.23034691919776235,N,Y,N
BM2,0.07859497,0.095857225,-0.3523147,0.6112733,0.8543949,0.22308171,0.6648844751521105,N,Y,N
Baseline,0.14422143,0.112249345,-0.3150906,1.1066561,1.6511134,0.45771414,0.996685068898909,N,Y,Y
TimesFM VB10,0.05701398,0.05138238,-0.16625878,0.72036326,1.077672,0.3429231,0.8149005661880951,Y,Y,N
TimesFM VB08,0.05704693,0.05115568,-0.16625878,0.7241998,1.0845565,0.3431213,0.8204243755310525,Y,Y,N
TimesFM VB07,0.05705493,0.05115471,-0.1662588,0.7243698,1.0848144,0.3431694,0.8206527838904202,Y,Y,N
TimesFM Regime VB,0.057038773,0.051373687,-0.16594745,0.7209677,1.0786173,0.34371585,0.8157328464358578,Y,Y,N
TimesFM Regime + DD,0.05703876,0.051373687,-0.16594745,0.72096753,1.0786171,0.3437158,0.8157326402363925,Y,Y,N
CVaR 95 2.5%,0.1550456,0.13662797,-0.3148252,0.9884184,1.4477084,0.4924815,0.9847855242360511,N,Y,Y
CVaR 99 4.0%,0.15422845,0.13578445,-0.3148252,0.98854065,1.4505414,0.48988596,0.984923351667241,N,Y,Y
Nested Risk,0.07495997,0.067109555,-0.23971009,0.81895894,1.1899546,0.31271097,0.9059531901933355,Y,Y,N
Nested Risk + CVaR,0.12859844,0.113882884,-0.34546036,0.95359755,1.3913208,0.37225237,0.9751700873121695,N,Y,Y
HRP SAA,0.05701398,0.05138238,-0.16625878,0.72036326,1.077672,0.3429231,0.8149005661880951,Y,Y,N
BL Stress Views,0.05804501,0.051130127,-0.16614446,0.7440821,1.1154666,0.34936473,0.8458650660650968,Y,Y,N
Kitchen Sink,0.12859844,0.113882884,-0.34546036,0.95359755,1.3913208,0.37225237,0.9751700873121695,N,Y,Y
