comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.2764952529535355
taa_vs_saa,asset,FTSE100,0.019709411669997425
taa_vs_saa,asset,LBUSTRUU,0.0029369162577371115
taa_vs_saa,asset,BROAD_TIPS,0.037998214224526705
taa_vs_saa,asset,B3REITT,0.017193057338884613
taa_vs_saa,asset,XAU,-0.2123931966828226
taa_vs_saa,asset,SILVER_FUT,0.0461291307633708
taa_vs_saa,asset,NIKKEI225,0.020867383809649476
taa_vs_saa,asset,CSI300_CHINA,-0.029290275625302373
taa_vs_saa,asset,BITCOIN,1.0078784060087131
taa_vs_saa,asset,CHF_FRANC,-0.034521439527553176
taa_vs_saa,tier,Core,-0.21585071080127427
taa_vs_saa,tier,Non-Traditional,0.97335696648116
taa_vs_saa,tier,Satellite,-0.1574939003962201
taa_vs_saa,total,total,0.6000123552836656
taa_vs_bm1,asset,SPXT,-1.1575077498177868
taa_vs_bm1,asset,FTSE100,0.07959566772486969
taa_vs_bm1,asset,LBUSTRUU,-0.20262293975310294
taa_vs_bm1,asset,BROAD_TIPS,0.10551238220872142
taa_vs_bm1,asset,B3REITT,0.1625594811492663
taa_vs_bm1,asset,XAU,0.30492929500612553
taa_vs_bm1,asset,SILVER_FUT,0.2724930067171861
taa_vs_bm1,asset,NIKKEI225,0.11054145354053527
taa_vs_bm1,asset,CSI300_CHINA,0.25131367359850565
taa_vs_bm1,asset,BITCOIN,1.9958322092210097
taa_vs_bm1,asset,CHF_FRANC,-0.04750711991978175
taa_vs_bm1,tier,Core,-1.1750226396372987
taa_vs_bm1,tier,Non-Traditional,1.9483250893012278
taa_vs_bm1,tier,Satellite,1.101836910011619
taa_vs_bm1,total,total,1.8751393596755481
taa_vs_bm2,asset,SPXT,-0.5795369961410562
taa_vs_bm2,asset,FTSE100,0.07959566772486969
taa_vs_bm2,asset,LBUSTRUU,0.023737515170505343
taa_vs_bm2,asset,BROAD_TIPS,0.06412328237159315
taa_vs_bm2,asset,B3REITT,-0.08504524743170594
taa_vs_bm2,asset,XAU,-0.1304187285358889
taa_vs_bm2,asset,SILVER_FUT,0.07508165856685296
taa_vs_bm2,asset,NIKKEI225,0.030215973496500126
taa_vs_bm2,asset,CSI300_CHINA,0.08686711354471359
taa_vs_bm2,asset,BITCOIN,1.9958322092210097
taa_vs_bm2,asset,CHF_FRANC,-0.025907869850439767
taa_vs_bm2,tier,Core,-0.4120805308740881
taa_vs_bm2,tier,Non-Traditional,1.9699243393705699
taa_vs_bm2,tier,Satellite,-0.02329923035952816
taa_vs_bm2,total,total,1.5345445781369538
