regime,grouping,component,avg_weight,days
neutral,asset,SPXT,0.20129895841422485,1899
neutral,asset,FTSE100,0.07393015497711722,1899
neutral,asset,LBUSTRUU,0.11085837793738529,1899
neutral,asset,BROAD_TIPS,0.09862561176826898,1899
neutral,asset,B3REITT,0.08929821067176372,1899
neutral,asset,XAU,0.10389925150560278,1899
neutral,asset,SILVER_FUT,0.0800510716954163,1899
neutral,asset,NIKKEI225,0.07406188012613091,1899
neutral,asset,CSI300_CHINA,0.05657271633756936,1899
neutral,asset,BITCOIN,0.06229533755559371,1899
neutral,asset,CHF_FRANC,0.04910842901092693,1899
neutral,tier,Core,0.4847131030969963,1899
neutral,tier,Satellite,0.40388313033648304,1899
neutral,tier,Non-Traditional,0.11140376656652064,1899
risk_on,asset,SPXT,0.20875003618527194,3348
risk_on,asset,FTSE100,0.07868842320909471,3348
risk_on,asset,LBUSTRUU,0.09895591169196066,3348
risk_on,asset,BROAD_TIPS,0.10166716213718961,3348
risk_on,asset,B3REITT,0.10735971392914384,3348
risk_on,asset,XAU,0.07934705614892688,3348
risk_on,asset,SILVER_FUT,0.060342939720141375,3348
risk_on,asset,NIKKEI225,0.08809914128395961,3348
risk_on,asset,CSI300_CHINA,0.05726860739199183,3348
risk_on,asset,BITCOIN,0.07041390475083861,3348
risk_on,asset,CHF_FRANC,0.049107103551480936,3348
risk_on,tier,Core,0.4880615332235169,3348
risk_on,tier,Satellite,0.39241745847416354,3348
risk_on,tier,Non-Traditional,0.11952100830231956,3348
stress,asset,SPXT,0.20001273809837258,1653
stress,asset,FTSE100,0.05648978556223897,1653
stress,asset,LBUSTRUU,0.1437222819343603,1653
stress,asset,BROAD_TIPS,0.1293873442730959,1653
stress,asset,B3REITT,0.050564971334801714,1653
stress,asset,XAU,0.13588501298245256,1653
stress,asset,SILVER_FUT,0.07675860881622912,1653
stress,asset,NIKKEI225,0.0488817952487721,1653
stress,asset,CSI300_CHINA,0.06974772627294472,1653
stress,asset,BITCOIN,0.026858555905563842,1653
stress,asset,CHF_FRANC,0.06169117957116815,1653
stress,tier,Core,0.5296121498680678,1653
stress,tier,Satellite,0.38183811465520023,1653
stress,tier,Non-Traditional,0.088549735476732,1653
