asset,prev_valid_date,next_valid_date,calendar_gap_days,missing_calendar_days,gap_class
COFFEE_FUT,1988-10-31,1988-12-15,45,44,extended_gap
COFFEE_FUT,1987-02-27,1987-03-23,24,23,extended_gap
COFFEE_FUT,1987-06-30,1987-07-23,23,22,extended_gap
COFFEE_FUT,1987-08-31,1987-09-22,22,21,extended_gap
COFFEE_FUT,1987-11-30,1987-12-22,22,21,extended_gap
COFFEE_FUT,1987-04-30,1987-05-20,20,19,extended_gap
COFFEE_FUT,1988-02-29,1988-03-17,17,16,extended_gap
COFFEE_FUT,1988-04-29,1988-05-16,17,16,extended_gap
CSI300_CHINA,2002-02-08,2002-02-25,17,16,extended_gap
COFFEE_FUT,1988-08-31,1988-09-16,16,15,extended_gap
BROAD_TIPS,1998-03-31,1998-04-15,15,14,extended_gap
COFFEE_FUT,1988-06-30,1988-07-15,15,14,extended_gap
BCEE1T_EUROAREA,2001-01-19,2001-02-01,13,12,extended_gap
BCEE1T_EUROAREA,2001-11-20,2001-12-03,13,12,extended_gap
BCEE1T_EUROAREA,2003-01-21,2003-02-03,13,12,extended_gap
CSI300_CHINA,2004-01-16,2004-01-29,13,12,extended_gap
BCEE1T_EUROAREA,2000-09-20,2000-10-02,12,11,extended_gap
BCEE1T_EUROAREA,2000-12-20,2001-01-01,12,11,extended_gap
BCEE1T_EUROAREA,2002-11-20,2002-12-02,12,11,extended_gap
BCEE1T_EUROAREA,2002-12-20,2003-01-01,12,11,extended_gap
BCEE1T_EUROAREA,2003-12-19,2003-12-31,12,11,extended_gap
CSI300_CHINA,2003-01-29,2003-02-10,12,11,extended_gap
CSI300_CHINA,2003-04-30,2003-05-12,12,11,extended_gap
CSI300_CHINA,2005-02-04,2005-02-16,12,11,extended_gap
CSI300_CHINA,2006-01-25,2006-02-06,12,11,extended_gap
BCEE1T_EUROAREA,2000-01-21,2000-02-01,11,10,extended_gap
BCEE1T_EUROAREA,2002-01-21,2002-02-01,11,10,extended_gap
BCEE1T_EUROAREA,2002-03-21,2002-04-01,11,10,extended_gap
CNY,2020-01-23,2020-02-03,11,10,extended_gap
CNY,2023-09-28,2023-10-09,11,10,extended_gap
CNY,2026-02-13,2026-02-24,11,10,extended_gap
CSI300_CHINA,2002-09-27,2002-10-08,11,10,extended_gap
CSI300_CHINA,2020-01-23,2020-02-03,11,10,extended_gap
CSI300_CHINA,2023-09-28,2023-10-09,11,10,extended_gap
CSI300_CHINA,2024-02-08,2024-02-19,11,10,extended_gap
CSI300_CHINA,2026-02-13,2026-02-24,11,10,extended_gap
NIKKEI225,2019-04-26,2019-05-07,11,10,extended_gap
BCEE1T_EUROAREA,2000-03-24,2000-04-03,10,9,extended_gap
BITCOIN,2011-06-17,2011-06-27,10,9,extended_gap
CNY,1993-12-27,1994-01-06,10,9,extended_gap
CNY,2010-02-12,2010-02-22,10,9,extended_gap
CNY,2011-09-30,2011-10-10,10,9,extended_gap
CNY,2012-09-28,2012-10-08,10,9,extended_gap
CNY,2013-02-08,2013-02-18,10,9,extended_gap
CNY,2016-02-05,2016-02-15,10,9,extended_gap
CNY,2016-09-30,2016-10-10,10,9,extended_gap
CNY,2017-09-29,2017-10-09,10,9,extended_gap
CNY,2018-09-28,2018-10-08,10,9,extended_gap
CNY,2019-02-01,2019-02-11,10,9,extended_gap
CNY,2022-01-28,2022-02-07,10,9,extended_gap
CNY,2022-09-30,2022-10-10,10,9,extended_gap
CNY,2023-01-20,2023-01-30,10,9,extended_gap
CNY,2024-02-09,2024-02-19,10,9,extended_gap
CSI300_CHINA,2004-04-30,2004-05-10,10,9,extended_gap
CSI300_CHINA,2005-04-29,2005-05-09,10,9,extended_gap
CSI300_CHINA,2005-09-30,2005-10-10,10,9,extended_gap
CSI300_CHINA,2006-04-28,2006-05-08,10,9,extended_gap
CSI300_CHINA,2006-09-29,2006-10-09,10,9,extended_gap
CSI300_CHINA,2007-02-16,2007-02-26,10,9,extended_gap
CSI300_CHINA,2007-09-28,2007-10-08,10,9,extended_gap
CSI300_CHINA,2008-09-26,2008-10-06,10,9,extended_gap
CSI300_CHINA,2009-01-23,2009-02-02,10,9,extended_gap
CSI300_CHINA,2010-02-12,2010-02-22,10,9,extended_gap
CSI300_CHINA,2011-09-30,2011-10-10,10,9,extended_gap
CSI300_CHINA,2012-01-20,2012-01-30,10,9,extended_gap
CSI300_CHINA,2012-09-28,2012-10-08,10,9,extended_gap
CSI300_CHINA,2013-02-08,2013-02-18,10,9,extended_gap
CSI300_CHINA,2016-02-05,2016-02-15,10,9,extended_gap
CSI300_CHINA,2016-09-30,2016-10-10,10,9,extended_gap
CSI300_CHINA,2017-09-29,2017-10-09,10,9,extended_gap
CSI300_CHINA,2018-09-28,2018-10-08,10,9,extended_gap
CSI300_CHINA,2019-02-01,2019-02-11,10,9,extended_gap
CSI300_CHINA,2022-01-28,2022-02-07,10,9,extended_gap
CSI300_CHINA,2022-09-30,2022-10-10,10,9,extended_gap
CSI300_CHINA,2023-01-20,2023-01-30,10,9,extended_gap
NIKKEI225,1980-12-26,1981-01-05,10,9,extended_gap
NIKKEI225,1985-12-27,1986-01-06,10,9,extended_gap
NIKKEI225,1986-12-26,1987-01-05,10,9,extended_gap
BCEE1T_EUROAREA,2000-02-21,2000-03-01,9,8,extended_gap
CNY,2020-09-30,2020-10-09,9,8,extended_gap
