comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.22634156846266545
taa_vs_saa,asset,FTSE100,0.021948416974849397
taa_vs_saa,asset,LBUSTRUU,-0.021264989772580768
taa_vs_saa,asset,BROAD_TIPS,0.023230784688347633
taa_vs_saa,asset,B3REITT,0.18311342470575628
taa_vs_saa,asset,XAU,-0.18260945231898978
taa_vs_saa,asset,SILVER_FUT,0.07888877923562243
taa_vs_saa,asset,NIKKEI225,-0.047702948238857526
taa_vs_saa,asset,CSI300_CHINA,-0.06334257800216535
taa_vs_saa,asset,BITCOIN,0.6416308086340212
taa_vs_saa,asset,CHF_FRANC,-0.03255966394892448
taa_vs_saa,tier,Core,-0.2024273565720492
taa_vs_saa,tier,Non-Traditional,0.6090711446850967
taa_vs_saa,tier,Satellite,-0.031652774618633944
taa_vs_saa,total,total,0.37499101349441355
taa_vs_bm1,asset,SPXT,-1.1073540653269167
taa_vs_bm1,asset,FTSE100,0.08183467302972167
taa_vs_bm1,asset,LBUSTRUU,-0.22682484578342077
taa_vs_bm1,asset,BROAD_TIPS,0.09074495267254234
taa_vs_bm1,asset,B3REITT,0.328479848516138
taa_vs_bm1,asset,XAU,0.33471303936995833
taa_vs_bm1,asset,SILVER_FUT,0.3052526551894377
taa_vs_bm1,asset,NIKKEI225,0.04197112149202827
taa_vs_bm1,asset,CSI300_CHINA,0.21726137122164269
taa_vs_bm1,asset,BITCOIN,1.629584611846318
taa_vs_bm1,asset,CHF_FRANC,-0.04554534434115305
taa_vs_bm1,tier,Core,-1.1615992854080734
taa_vs_bm1,tier,Non-Traditional,1.5840392675051649
taa_vs_bm1,tier,Satellite,1.227678035789205
taa_vs_bm1,total,total,1.6501180178862964
taa_vs_bm2,asset,SPXT,-0.5293833116501862
taa_vs_bm2,asset,FTSE100,0.08183467302972167
taa_vs_bm2,asset,LBUSTRUU,-0.0004643908598125318
taa_vs_bm2,asset,BROAD_TIPS,0.04935585283541406
taa_vs_bm2,asset,B3REITT,0.08087511993516577
taa_vs_bm2,asset,XAU,-0.10063498417205606
taa_vs_bm2,asset,SILVER_FUT,0.10784130703910459
taa_vs_bm2,asset,NIKKEI225,-0.038354358552006876
taa_vs_bm2,asset,CSI300_CHINA,0.052814811167850605
taa_vs_bm2,asset,BITCOIN,1.629584611846318
taa_vs_bm2,asset,CHF_FRANC,-0.02394609427181106
taa_vs_bm2,tier,Core,-0.39865717664486294
taa_vs_bm2,tier,Non-Traditional,1.605638517574507
taa_vs_bm2,tier,Satellite,0.10254189541805803
taa_vs_bm2,total,total,1.309523236347702
