regime,grouping,component,avg_weight,days
neutral,asset,SPXT,0.21831966256672483,1899
neutral,asset,FTSE100,0.10310101001699565,1899
neutral,asset,LBUSTRUU,0.08089785482096054,1899
neutral,asset,BROAD_TIPS,0.08596537601077942,1899
neutral,asset,B3REITT,0.11520649345587242,1899
neutral,asset,XAU,0.11958060229072208,1899
neutral,asset,SILVER_FUT,0.05756606213778463,1899
neutral,asset,NIKKEI225,0.0734755686517896,1899
neutral,asset,CSI300_CHINA,0.05583600188906404,1899
neutral,asset,BITCOIN,0.036170958594236975,1899
neutral,asset,CHF_FRANC,0.05388040956506983,1899
neutral,tier,Core,0.4882839034154604,1899
neutral,tier,Satellite,0.4216647284252328,1899
neutral,tier,Non-Traditional,0.09005136815930681,1899
risk_on,asset,SPXT,0.27905792833998216,3348
risk_on,asset,FTSE100,0.08272915619759458,3348
risk_on,asset,LBUSTRUU,0.06174017245599321,3348
risk_on,asset,BROAD_TIPS,0.07560941013528506,3348
risk_on,asset,B3REITT,0.15375591573060549,3348
risk_on,asset,XAU,0.08119058370598978,3348
risk_on,asset,SILVER_FUT,0.04734559145530242,3348
risk_on,asset,NIKKEI225,0.08265742172406439,3348
risk_on,asset,CSI300_CHINA,0.052879601715198274,3348
risk_on,asset,BITCOIN,0.05505317993434397,3348
risk_on,asset,CHF_FRANC,0.027981038605640635,3348
risk_on,tier,Core,0.499136667128855,3348
risk_on,tier,Satellite,0.4178291143311603,3348
risk_on,tier,Non-Traditional,0.0830342185399846,3348
stress,asset,SPXT,0.19994384129181725,1653
stress,asset,FTSE100,0.07871266786139573,1653
stress,asset,LBUSTRUU,0.11137927952470138,1653
stress,asset,BROAD_TIPS,0.11086532350634505,1653
stress,asset,B3REITT,0.06958447185798945,1653
stress,asset,XAU,0.1036720820700063,1653
stress,asset,SILVER_FUT,0.06281112841047364,1653
stress,asset,NIKKEI225,0.08316196433443326,1653
stress,asset,CSI300_CHINA,0.07458349494732813,1653
stress,asset,BITCOIN,0.005988566121916511,1653
stress,asset,CHF_FRANC,0.0992971800735933,1653
stress,tier,Core,0.5009011121842594,1653
stress,tier,Satellite,0.39381314162023084,1653
stress,tier,Non-Traditional,0.10528574619550979,1653
