comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.2849701773391022
taa_vs_saa,asset,FTSE100,-0.019936214782754026
taa_vs_saa,asset,LBUSTRUU,0.15689816640448745
taa_vs_saa,asset,BROAD_TIPS,0.1326795600994337
taa_vs_saa,asset,B3REITT,-0.022895257028362224
taa_vs_saa,asset,XAU,-0.4299945526901927
taa_vs_saa,asset,SILVER_FUT,-0.18789845283424872
taa_vs_saa,asset,NIKKEI225,-0.061631310280488495
taa_vs_saa,asset,CSI300_CHINA,-0.24162818123951513
taa_vs_saa,asset,BITCOIN,-0.735090711849884
taa_vs_saa,asset,CHF_FRANC,-0.038384048794190766
taa_vs_saa,tier,Core,-0.015328665617935056
taa_vs_saa,tier,Non-Traditional,-0.7734747606440747
taa_vs_saa,tier,Satellite,-0.9440477540728073
taa_vs_saa,total,total,-1.732851180334817
taa_vs_bm1,asset,SPXT,-1.1659826742033537
taa_vs_bm1,asset,FTSE100,0.039950041272118236
taa_vs_bm1,asset,LBUSTRUU,-0.04866168960635257
taa_vs_bm1,asset,BROAD_TIPS,0.2001937280836284
taa_vs_bm1,asset,B3REITT,0.12247116678201943
taa_vs_bm1,asset,XAU,0.08732793899875543
taa_vs_bm1,asset,SILVER_FUT,0.03846542311956668
taa_vs_bm1,asset,NIKKEI225,0.028042759450397317
taa_vs_bm1,asset,CSI300_CHINA,0.03897576798429285
taa_vs_bm1,asset,BITCOIN,0.25286309136241264
taa_vs_bm1,asset,CHF_FRANC,-0.05136972918641934
taa_vs_bm1,tier,Core,-0.9745005944539595
taa_vs_bm1,tier,Non-Traditional,0.20149336217599328
taa_vs_bm1,tier,Satellite,0.31528305633503173
taa_vs_bm1,total,total,-0.4577241759429345
taa_vs_bm2,asset,SPXT,-0.588011920526623
taa_vs_bm2,asset,FTSE100,0.039950041272118236
taa_vs_bm2,asset,LBUSTRUU,0.17769876531725567
taa_vs_bm2,asset,BROAD_TIPS,0.15880462824650016
taa_vs_bm2,asset,B3REITT,-0.12513356179895274
taa_vs_bm2,asset,XAU,-0.34802008454325906
taa_vs_bm2,asset,SILVER_FUT,-0.15894592503076652
taa_vs_bm2,asset,NIKKEI225,-0.05228272059363783
taa_vs_bm2,asset,CSI300_CHINA,-0.12547079206949924
taa_vs_bm2,asset,BITCOIN,0.25286309136241264
taa_vs_bm2,asset,CHF_FRANC,-0.02977047911707737
taa_vs_bm2,tier,Core,-0.21155848569074892
taa_vs_bm2,tier,Non-Traditional,0.22309261224533528
taa_vs_bm2,tier,Satellite,-0.8098530840361153
taa_vs_bm2,total,total,-0.7983189574815293
