date,fold_id,regime,optimizer_status,used_fallback,turnover,turnover_cost,ex_ante_vol,active_vol_budget,guardrail_multiplier,p_risk_on,p_neutral,p_stress
2003-01-29,1,risk_on,optimal,0,0.6478262542530108,0.0003239131271265054,0.06999999994655734,0.07,1.0,0.5060601552498696,0.493904258383326,3.558636681299697e-05
2003-02-28,1,risk_on,optimal,0,0.042742891381428644,2.137144569071432e-05,0.0699999999636563,0.07,1.0,0.5041465949432379,0.4958534050161984,4.04692716765262e-11
2003-03-31,1,stress,optimal,0,0.26716128037068027,0.00013358064018534013,0.06999999981995426,0.07,1.0,5.192026057123921e-06,2.83078661345483e-06,0.9999919771872878
2003-04-30,1,risk_on,optimal,0,0.17984838877876602,8.992419438938301e-05,0.06999999996342864,0.07,1.0,0.5029962039174307,0.4970029567437869,8.39338665485818e-07
2003-05-30,1,risk_on,optimal,0,0.14772293778254367,7.386146889127184e-05,0.0699999998980532,0.07,1.0,0.5037349666093098,0.49626503339083344,6.904831168358523e-14
2003-06-30,1,risk_on,optimal,0,0.18623410042830785,9.311705021415393e-05,0.06999999950829842,0.07,1.0,0.5025490970052429,0.49745090093093014,2.063752040353061e-09
2003-07-31,1,neutral,optimal,0,0.2729842415803132,0.0001364921207901566,0.06999999983591805,0.07,1.0,0.49813416767221796,0.500792253250634,0.0010735790773513895
2003-08-29,1,risk_on,optimal,0,0.22598076237226833,0.00011299038118613417,0.06999999990503226,0.07,1.0,0.9999999820138329,1.0721605231427243e-08,7.264552100188086e-09
2003-09-30,1,risk_on,optimal,0,0.1998722399925275,9.993611999626375e-05,0.06999999984326129,0.07,1.0,0.5061742106026043,0.49382578939743704,2.37556489724666e-32
2003-10-31,1,risk_on,optimal,0,0.02054696207265727,1.0273481036328635e-05,0.06999999980731975,0.07,1.0,0.9999999999281499,4.6139364986691294e-11,2.553744713776569e-11
2003-11-28,1,risk_on,optimal,0,0.071965094759529,3.59825473797645e-05,0.06999999944146845,0.07,1.0,0.9999999999427018,4.704482369110816e-11,1.0315863519839077e-11
2003-12-30,1,risk_on,optimal,0,0.08082276696156601,4.041138348078301e-05,0.06999999998322297,0.07,1.0,0.503458156527473,0.49654184347255087,5.387345489684807e-47
2004-01-30,1,risk_on,optimal,0,0.06975960483960676,3.487980241980338e-05,0.06999999936034741,0.07,1.0,0.5038495615922677,0.49615043840794565,1.3396712346580848e-51
2004-02-27,1,risk_on,optimal,0,0.07899959742026803,3.949979871013402e-05,0.06999999910962225,0.07,1.0,0.503866987633963,0.49613301236612906,3.7734280279733297e-44
2004-03-31,1,risk_on,optimal,0,0.15894083179595456,7.947041589797728e-05,0.0699999987042272,0.07,1.0,0.5032842179437901,0.49671578205643263,2.254606330322871e-44
2004-04-30,1,risk_on,optimal,0,0.1957993547211041,9.789967736055205e-05,0.0699999994415201,0.07,1.0,0.5027089270912101,0.4972910729089617,4.797533040211281e-54
2004-05-28,1,risk_on,optimal,0,0.13750754658836722,6.875377329418361e-05,0.06999999987342215,0.07,1.0,0.502943371751107,0.4970566282488327,2.6758351520235527e-51
2004-06-30,1,risk_on,optimal,0,0.1529499342514562,7.647496712572811e-05,0.06999999992903683,0.07,1.0,0.5019331077543516,0.4980668922454431,1.3864011448161261e-55
2004-07-30,1,risk_on,optimal,0,0.257656515787589,0.0001288282578937945,0.06999999974690273,0.07,1.0,0.5063175418053206,0.49368245819482376,1.8398838530043022e-50
2004-08-31,1,neutral,optimal,0,0.1589616308881113,7.948081544405565e-05,0.06999999997224808,0.07,1.0,0.4983112370949619,0.501688762904868,1.6211074822228121e-46
2004-09-30,1,risk_on,optimal,0,0.16449064089029444,8.224532044514722e-05,0.06999999971110205,0.07,1.0,0.5149820999285623,0.48501790007156387,1.3161200770934292e-25
2004-10-29,1,neutral,optimal,0,0.05109169256071063,2.5545846280355316e-05,0.06999999972667358,0.07,1.0,0.4950637869405911,0.5049362130596028,1.112648131056745e-56
2004-11-30,1,neutral,optimal,0,0.10728948035278041,5.364474017639021e-05,0.06999999960837801,0.07,1.0,0.4996518924691253,0.500348107531094,5.59906902109053e-63
2004-12-30,1,risk_on,optimal,0,0.08616820068257998,4.308410034128999e-05,0.06999999937123959,0.07,1.0,0.5006386039900634,0.499361396009786,6.824647471841621e-65
2005-01-31,1,neutral,optimal,0,0.023545122084376403,1.1772561042188202e-05,0.06999999963640527,0.07,1.0,0.4875076474675755,0.512492352532542,1.3215015369894372e-47
2005-02-28,1,stress,optimal,0,0.060581089231263555,3.0290544615631777e-05,0.06999999989293662,0.07,1.0,9.32811520560294e-20,6.519955993492845e-20,1.0
