asset,gap_count,missing_calendar_days,longest_gap_days,extended_gap_count_gt4d
TA-125_ISRAEL,1908,4104,6,116
CSI300_CHINA,1240,2980,17,95
NIKKEI225,2532,5417,11,84
COPPERSPOT,2113,4516,6,80
FTSE100,2237,4747,5,75
CNY,2353,5005,11,60
COFFEE_FUT,2471,5436,45,52
XAU,2638,5448,7,44
LBEATREU_EUROBONDAGG,1467,3078,5,40
BCEE1T_EUROAREA,1411,2990,13,29
SILVER_FUT,2437,4979,6,27
NATURALGAS,1947,4109,5,25
COTTON_FUT,2513,5262,8,24
I02923JP_JAPAN_BOND,1389,2854,6,14
SOYBEAN_FUT,2525,5237,5,3
SPXT,1995,4137,5,2
WHEAT_SPOT,2523,5234,5,2
AUD,2373,4754,5,1
BITCOIN,494,699,10,1
BROAD_TIPS,1534,3206,15,1
LBUSTRUU,2042,4261,5,1
SHEKEL,2349,4697,5,1
0_5Y_TIPS,867,1799,4,0
B3REITT,1198,2396,3,0
BAIGTRUU_ASIACREDIT,626,1253,4,0
CAD,2363,4726,3,0
CHF_FRANC,2363,4726,3,0
COCOAINDEXSPOT,2308,4781,4,0
ETHEREUM,101,111,4,0
EURO,1424,2848,3,0
GBP_POUND,2363,4726,3,0
USDJPY,2621,5246,4,0
