comparison,grouping,component,total_contribution
taa_vs_saa,asset,SPXT,-0.17631133854323217
taa_vs_saa,asset,FTSE100,0.04667466890407722
taa_vs_saa,asset,LBUSTRUU,-0.010562899147059088
taa_vs_saa,asset,BROAD_TIPS,0.014491232526161895
taa_vs_saa,asset,B3REITT,0.21241491056937348
taa_vs_saa,asset,XAU,-0.23050615669804142
taa_vs_saa,asset,SILVER_FUT,0.046057810572846136
taa_vs_saa,asset,NIKKEI225,-0.007733135953043351
taa_vs_saa,asset,CSI300_CHINA,0.07040667241553271
taa_vs_saa,asset,BITCOIN,0.7424510566250759
taa_vs_saa,asset,CHF_FRANC,-0.03525523887884342
taa_vs_saa,tier,Core,-0.12570833626005215
taa_vs_saa,tier,Non-Traditional,0.7071958177462325
taa_vs_saa,tier,Satellite,0.09064010090666755
taa_vs_saa,total,total,0.672127582392848
taa_vs_bm1,asset,SPXT,-1.0573238354074834
taa_vs_bm1,asset,FTSE100,0.10656092495894949
taa_vs_bm1,asset,LBUSTRUU,-0.21612275515789914
taa_vs_bm1,asset,BROAD_TIPS,0.08200540051035658
taa_vs_bm1,asset,B3REITT,0.3577813343797551
taa_vs_bm1,asset,XAU,0.28681633499090675
taa_vs_bm1,asset,SILVER_FUT,0.27242168652666143
taa_vs_bm1,asset,NIKKEI225,0.08194093377784248
taa_vs_bm1,asset,CSI300_CHINA,0.3510106216393407
taa_vs_bm1,asset,BITCOIN,1.7304048598373722
taa_vs_bm1,asset,CHF_FRANC,-0.048240919271072
taa_vs_bm1,tier,Core,-1.0848802650960765
taa_vs_bm1,tier,Non-Traditional,1.6821639405663003
taa_vs_bm1,tier,Satellite,1.3499709113145064
taa_vs_bm1,total,total,1.9472545867847302
taa_vs_bm2,asset,SPXT,-0.47935308173075275
taa_vs_bm2,asset,FTSE100,0.10656092495894949
taa_vs_bm2,asset,LBUSTRUU,0.010237699765709152
taa_vs_bm2,asset,BROAD_TIPS,0.040616300673228335
taa_vs_bm2,asset,B3REITT,0.11017660579878288
taa_vs_bm2,asset,XAU,-0.1485316885511077
taa_vs_bm2,asset,SILVER_FUT,0.07501033837632824
taa_vs_bm2,asset,NIKKEI225,0.001615453733807285
taa_vs_bm2,asset,CSI300_CHINA,0.18656406158554867
taa_vs_bm2,asset,BITCOIN,1.7304048598373722
taa_vs_bm2,asset,CHF_FRANC,-0.026641669201730018
taa_vs_bm2,tier,Core,-0.32193815633286577
taa_vs_bm2,tier,Non-Traditional,1.7037631906356423
taa_vs_bm2,tier,Satellite,0.22483477094335935
taa_vs_bm2,total,total,1.6066598052461358
