regime,grouping,component,avg_weight,days
neutral,asset,SPXT,0.2002037314602357,1899
neutral,asset,FTSE100,0.028772540404720114,1899
neutral,asset,LBUSTRUU,0.30805715523507304,1899
neutral,asset,BROAD_TIPS,0.2361693232095278,1899
neutral,asset,B3REITT,0.02597575478994513,1899
neutral,asset,XAU,0.03963355421903999,1899
neutral,asset,SILVER_FUT,0.011407086730153526,1899
neutral,asset,NIKKEI225,0.019270895412991804,1899
neutral,asset,CSI300_CHINA,0.018446213125017947,1899
neutral,asset,BITCOIN,0.007059634699670622,1899
neutral,asset,CHF_FRANC,0.10500411071362517,1899
neutral,tier,Core,0.7732027503095565,1899
neutral,tier,Satellite,0.11473350427714839,1899
neutral,tier,Non-Traditional,0.11206374541329578,1899
risk_on,asset,SPXT,0.20405213299374764,3348
risk_on,asset,FTSE100,0.029181554316784545,3348
risk_on,asset,LBUSTRUU,0.32646758339587234,3348
risk_on,asset,BROAD_TIPS,0.22711299381395766,3348
risk_on,asset,B3REITT,0.03621753664141254,3348
risk_on,asset,XAU,0.03418477936114512,3348
risk_on,asset,SILVER_FUT,0.011779594930923202,3348
risk_on,asset,NIKKEI225,0.01730140152602169,3348
risk_on,asset,CSI300_CHINA,0.01816625135729333,3348
risk_on,asset,BITCOIN,0.0026460651546370752,3348
risk_on,asset,CHF_FRANC,0.09289010650820545,3348
risk_on,tier,Core,0.7868142645203623,3348
risk_on,tier,Satellite,0.11764956381679591,3348
risk_on,tier,Non-Traditional,0.09553617166284252,3348
stress,asset,SPXT,0.20045803547260088,1653
stress,asset,FTSE100,0.024898787845960467,1653
stress,asset,LBUSTRUU,0.3374963852742077,1653
stress,asset,BROAD_TIPS,0.23605274395544484,1653
stress,asset,B3REITT,0.021352563684023402,1653
stress,asset,XAU,0.030005110421957037,1653
stress,asset,SILVER_FUT,0.011711026484796733,1653
stress,asset,NIKKEI225,0.019512575632069207,1653
stress,asset,CSI300_CHINA,0.014675901506774624,1653
stress,asset,BITCOIN,0.0009897972212701885,1653
stress,asset,CHF_FRANC,0.10284707250089847,1653
stress,tier,Core,0.7989059525482141,1653
stress,tier,Satellite,0.09725717772962102,1653
stress,tier,Non-Traditional,0.10383686972216867,1653
